NumeroPedido;DtHoraPedido;DtHoraIntegracaoERP;Loja-Nome;Cod Loja;Bairro Entrega;CategoriaProduto;FormaPagamento;QTD.Itens;Qtd Unidades Devolvidas;NrItensCancelados;Peso Total (kg);ValorBrutoPedido(R$);Valor Desconto (R$);ValorLiquidoPedido(R$);HouveDesconto;CanalPedido;Dt Separacao Estoque;DtNotaFiscal;Dt_Despacho_Transportadora;DtEntregaCliente;Valor Frete (R$);TransportadoraResponsavel;SituacaoPedido;OBS
PA-2023-01261;11/19/2023 08:15 AM;11/19/2023 11:15 AM;PATA AMIGA JARAGUA DO SUL;LJ-014;Centro;petisco;Cartao de Debito;11;1;0;41.1;437.20;142,53;R$ 294,67;X;Loja Física;;;;;;;Retirada na loja;pedido recorrente
PA-2023-01302;11/19/2023 08:40 AM;11/19/2023 11:40 AM;pata amiga lages;LJ-025;Centro;RACAO;vale pet;10;N/I;0;15.1;2236;R$ 740,15;1495.95;true;Loja Física;;;;;;;Retirada na loja;
PA-2023-01249;11/19/2023 09:45 AM;11/19/2023 11:45 AM;Pata Amiga Ibirama/SC;LJ-011;Nossa Senhora de Fatima;Rac.;Vale Pet;2;0;0;5.5;449,76;R$ 215,88;233,88;S;SITE;2023-11-23;2023-11-23;2023-12-05;2023-12-08;14;TransPet Log;Entregue;
PA-2023-01312;11/19/2023 09:47 AM;11/19/2023 11:47 AM;pata amiga curitibanos;LJ-028;Santa Cruz;Rac.;Boleto;12;1;0;20,3;R$ 2.105,21;696;1.408,39;1;app;2023-11-22;2023-11-22;;;;Entrega Expressa SC;Aguardando despacho;produto fora de linha - substituido
PA-2023-01289;11/19/2023 11:30 AM;11/19/2023 11:50 AM;Pata Amiga Palhoça;;Pagani;Med.;Pix;9;1;-;24.5;1.005,43;482,61;522,82;;loja fisica;;;;;;;Retirada na loja;
PA-2023-01298;11/19/2023 11:05 AM;11/19/2023 11:55 AM;Pata Amiga Lages;LJ-025;;Petisco;CARTAO DE CREDITO;6;0;0;5.6;167,09;55,31;R$ 111,78;S;APP;2023-11-22;2023-11-23;2023-11-25;;;Rapido Catarinense;Despachado - em transito;
PA-2023-01253;11/19/2023 02:20 AM;11/19/2023 12:20 PM;pata amiga ibirama;LJ-011;Nossa Senhora de Fatima;petisco;pix;8;0;0;10.9;224,06;107.55;116,51;sim;LOJA FISICA;;;;;;;Retirada na loja;
PA-2023-01231;11/19/2023 12:07 PM;11/19/2023 12:27 PM;PATA AMIGA INDAIAL;LJ-006;Nacoes;Medicamento;Boleto;10;1;0;24,0;653,06;R$ 313,47;R$ 339,59;SIM;App;2023-11-21;2023-11-22;2023-11-25;2023-11-28;R$ 52,00;TransPet Log;Entregue;pedido recorrente
PA-2023-01235;11/19/2023 12:25 PM;11/19/2023 12:35 PM;Pata Amiga Presidente Getulio;LJ-008;Alto Dona Luiza;RACAO;Cartão de Crédito;12;0;0;12.7;1244.87;597.54;R$ 647,33;1;app;2023-11-23;2023-11-24;2023-12-01;2023-12-06;R$ 22,29;Logistica Propria;Entregue;
PA-2023-01247;11/19/2023 11:35 AM;11/19/2023 01:35 PM;Pata Amiga Ituporanga;;Vila Nova;Medicamentos;PIX;14;0;2;58.4;1.303,07;625.47;677,60;true;loja fisica;;;;;;;Retirada na loja;pedido recorrente
PA-2023-01310;11/19/2023 11:35 AM;11/19/2023 01:35 PM;Pata Amiga Otacílio Costa;LJ-027;Bela Vista;Ração;CARTAO DE CREDITO;13;0;0;12.6;R$ 2.480,32;R$ 820,99;1659.33;1;;2023-11-23;2023-11-24;2023-12-01;2023-12-06;39;Rapido Catarinense;Entregue;
PA-2023-01250;11/19/2023 01:12 PM;11/19/2023 01:47 PM;Pata Amiga Ibirama/SC;LJ-011;Bela Alianca;RAÇÃO;Pix;6;n/d;0;18,2;737,05;-;383,27;Sim;App Pata Amiga;2023-11-24;2023-11-24;2023-12-03;2023-12-07;31,11;Correios;Entregue;cliente pediu entrega no periodo da tarde
PA-2023-01282;11/19/2023 01:47 PM;11/19/2023 02:07 PM;pata amiga itapoa;;Figueira do Pontal;Med.;VALE PET;8;0;-;30.6;819.68;305;R$ 513,94;Sim;WHATSAPP;2023-11-26;2023-11-26;2023-12-09;2023-12-11;R$ 104,07;Entrega Expressa SC;Entregue;
PA-2023-01256;11/19/2023 11:35 AM;11/19/2023 02:35 PM;PATA AMIGA RIO DOS CEDROS;;Centro;Hig.;Cartão de Débito;11;1;0;27.6;R$ 449,43;215,73;233;S;App;2023-11-22;2023-11-22;2023-11-25;2023-11-29;93,99;Correios;Entregue;pedido recorrente
PA-2023-01251;11/19/2023 02:05 PM;11/19/2023 02:55 PM;Pata Amiga Ibirama/SC;;Bela Alianca;Ração;boleto;-;n/d;0;18,8;3.181,89;R$ 1.527,31;1654.58;V;App Pata Amiga;2023-11-23;2023-11-25;2023-12-04;2023-12-08;R$ 49,88;Correios;Entregue;
PA-2023-01297;11/19/2023 01:15 PM;11/19/2023 03:15 PM;pata amiga lages;LJ-025;Guarujal;Racao Seca;Cartao de Debito;6;0;0;21.0;R$ 574,48;190,15;R$ 384,33;Sim;APP;2023-11-21;2023-11-22;2023-11-27;2023-11-29;66,02;Entrega Expressa SC;Entregue;
PA-2023-01287;11/19/2023 05:25 AM;11/19/2023 03:25 PM;Pata Amiga Sao Jose Kobrasol;LJ-018;Forquilhinhas;racao;Pix;18;2;2;43.4;R$ 3.070,99;1.474,08;R$ 1.596,91;1;Loja Física;;;;;;;Retirada na loja;conferir endereco com o cliente
PA-2023-01269;11/19/2023 03:12 PM;11/19/2023 03:32 PM;PATA AMIGA JARAGUA DO SUL;LJ-014;Ilha da Figueira;higiene;CARTAO DE DEBITO;14;1;0;10.3;422;137,67;R$ 284,63;sim;APP;2023-11-21;2023-11-21;;;;Correios;Aguardando despacho;
PA-2023-01267;11/19/2023 03:30 PM;11/19/2023 03:50 PM;Pata Amiga Jaragua do Sul;;Ilha da Figueira;medicamento;Vale Pet;-;0;0;11.9;992.11;323;668,68;sim;Site;2023-11-20;2023-11-21;2023-11-25;2023-11-27;42,13;Entrega Expressa SC;Entregue;
PA-2023-01284;11/19/2023 03:52 PM;11/19/2023 04:02 PM;Pata Amiga São José Kobrasol;;Kobrasol;Racao;vale pet;;1;1;24.6;1131.58;543,16;588;;Loja Física;;;;;;;Retirada na loja;embalagem para presente
PA-2023-01280;11/19/2023 04:00 PM;11/19/2023 04:20 PM;Pata Amiga Itapoa;LJ-016;Figueira do Pontal;RACAO;Cartão de Débito;3;;0;9.9;393.53;146,79;246.74;;SITE;2023-11-23;2023-11-24;2023-12-04;2023-12-07;22;Entrega Expressa SC;Entregue;conferir endereco com o cliente
PA-2023-01274;11/19/2023 02:25 PM;11/19/2023 04:25 PM;PATA AMIGA SAO BENTO DO SUL;LJ-015;Centro;RAÇÃO;Dinheiro;11;1;1;7.5;1.626,61;606.73;1019.88;true;WHATSAPP;;;;;;;Pedido cancelado;embalagem para presente
PA-2023-01252;11/19/2023 04:07 PM;11/19/2023 04:27 PM;Pata Amiga Ibirama/SC;;Nossa Senhora de Fatima;Ração;Pix;12;1;0;33.4;1.317,64;632,47;685.17;SIM;WHATSAPP;2023-11-24;2023-11-26;2023-12-09;2023-12-12;R$ 89,07;Entrega Expressa SC;Entregue;
PA-2023-01291;11/19/2023 02:30 PM;11/19/2023 04:30 PM;Pata Amiga Palhoça;LJ-019;Pagani;petisco;Cartao de Debito;12;0;0;49,1;R$ 256,34;123,04;133.30;true;Site;2023-11-21;2023-11-21;;;;Entrega Expressa SC;Aguardando despacho;aguardando confirmacao de estoque
PA-2023-01283;11/19/2023 03:45 PM;11/19/2023 04:35 PM;pata amiga itapoa;LJ-016;Figueira do Pontal;Racao Seca;Vale Pet;3;0;0;4.5;649,20;242,15;407.05;true;LOJA FISICA;;;;;;;Retirada na loja;
PA-2023-01234;11/19/2023 07:07 AM;11/19/2023 05:07 PM;Pata Amiga Presidente Getúlio;;Centro;Racao Medicamentosa;Pix;14;0;0;58.7;2055;986.64;;1;site;2023-11-25;2023-11-26;2023-12-04;2023-12-08;;Entrega Expressa SC;Entregue;aguardando confirmacao de estoque
PA-2023-01293;11/19/2023 03:47 PM;11/19/2023 05:07 PM;pata amiga tubarao;;Oficinas;Higiene e Beleza;CARTAO DE CREDITO;4;0;0;15.8;147.44;23,59;123,85;X;Loja Física;;;;;;;Retirada na loja;cliente pediu entrega no periodo da tarde
PA-2023-01233;11/19/2023 05:05 PM;11/19/2023 05:25 PM;Pata Amiga Presidente Getúlio;;Centro;Hig.;Cartao de Credito;15;2;0;10.7;676.33;324.64;351;1;Site;2023-11-23;2023-11-24;2023-12-11;2023-12-14;32,17;Rapido Catarinense;Entregue;
PA-2023-01224;11/19/2023 07:45 AM;11/19/2023 05:45 PM;Pata Amiga Timbo;LJ-005;;petisco;PIX;10;0;1;40.8;455,88;R$ 218,82;R$ 237,06;S;Site;2023-11-23;2023-11-24;;;;Correios;Aguardando despacho;produto fora de linha - substituido
PA-2023-01225;11/19/2023 03:47 PM;11/19/2023 05:47 PM;Pata Amiga Timbo;LJ-005;Centro;Ração;Pix;;2;0;48,2;2.071,12;994.14;1076.98;1;whatsapp;2023-11-24;2023-11-25;2023-11-26;2023-11-28;168,50;Rapido Catarinense;Entregue;pedido recorrente
PA-2023-01232;11/19/2023 07:47 AM;11/19/2023 05:47 PM; Pata Amiga Gaspar;LJ-007;Gasparinho;Rac.;Cartão de Débito;5;0;0;15,7;990,94;;R$ 870,05;SIM;Telefone;2023-11-21;2023-11-22;2023-11-26;2023-11-28;52,91;Logistica Propria;Entregue;
PA-2023-01258;11/19/2023 05:15 PM;11/19/2023 05:50 PM;Pata Amiga Rio dos cedros;LJ-012;Centro;racao;Debito;15;2;0;43.2;2687.82;R$ 1.290,15;1.397,67;true;app;;;;;;;Pedido cancelado;
PA-2023-01303;11/19/2023 12:52 PM;11/19/2023 05:52 PM;PATA AMIGA LAGES;LJ-025;Centro;RACAO;BOLETO;14;0;0;34.7;2.097,32;694.21;1.403,11;Sim;Site;2023-11-21;2023-11-23;2023-11-24;2023-11-26;R$ 69,41;Correios;Entregue;
PA-2023-01260;11/19/2023 04:40 PM;11/19/2023 06:00 PM;Pata Amiga Joinville Sul;LJ-013;Costa e Silva;Ração Medicamentosa;boleto;12;2;2;10.5;R$ 1.561,05;582,27;978,78;1;Loja Fisica;;;;;;;Retirada na loja;cliente pediu entrega no periodo da tarde
PA-2023-01275;11/19/2023 08:10 AM;11/19/2023 06:10 PM;PATA AMIGA SAO BENTO DO SUL;LJ-015;Oxford;Med.;Vale Pet;;0;0;30.7;778,36;290,33;488;1;LOJA FISICA;;;;;;;Retirada na loja;pedido recorrente
PA-2023-01246;11/19/2023 06:23 PM;11/19/2023 06:43 PM;pata amiga ituporanga;LJ-010;;Racao Seca;boleto;7;0;;11.8;R$ 1.004,52;482,17;R$ 522,35;S;;2023-11-25;;;;;Correios;Aguardando nota fiscal;produto fora de linha - substituido
PA-2023-01313;11/19/2023 01:55 PM;11/19/2023 06:55 PM;PATA AMIGA CURITIBANOS;;Santa Cruz;Hig.;VALE PET;8;0;2;21.0;361,70;R$ 119,72;;SIM;SITE;2023-11-21;2023-11-21;;;;Entrega Expressa SC;Aguardando despacho;pedido recorrente
PA-2023-01223;11/19/2023 05:38 PM;11/19/2023 06:58 PM;PATA AMIGA BRUSQUE;LJ-004;Santa Terezinha;acessorio;Debito;3;0;0;1.5;191.64;15,33;R$ 176,31;X;App Pata Amiga;;;;;;;Pedido cancelado;produto fora de linha - substituido
PA-2023-01307;11/19/2023 02:07 PM;11/19/2023 07:07 PM;Pata Amiga São Joaquim;;Santa Terezinha;Ração;CARTAO DE CREDITO;9;0;0;29.9;1.150,65;380,87;769,78;X;App;2023-11-21;2023-11-23;2023-11-30;2023-12-05;;Entrega Expressa SC;Entregue;
PA-2023-01218;11/19/2023 06:07 PM;11/19/2023 07:27 PM; Pata Amiga Blumenau Centro;LJ-001;Vorstadt;Brinquedos;dinheiro;5;0;0;11.1;265,47;R$ 32,39;233,08;true;Site;2023-11-22;2023-11-23;2023-11-27;;;Rapido Catarinense;Despachado - em transito;
PA-2023-01271;11/19/2023 06:10 PM;11/19/2023 07:30 PM;PATA AMIGA JARAGUA DO SUL;LJ-014;Barra do Rio Cerro;petisco;Pix;14;0;1;31,7;444.07;R$ 144,77;299.30;true;APP;2023-11-21;2023-11-22;;;;Logistica Propria;Aguardando despacho;
PA-2023-01244;11/19/2023 07:47 PM;11/19/2023 07:57 PM;Pata Amiga Ituporanga;;Centro;RAÇÃO;Pix;6;0;0;10,7;1.094,50;525.36;R$ 569,14;sim;App Pata Amiga;2023-11-23;2023-11-25;;;;Correios;Aguardando despacho;
PA-2023-01220;11/19/2023 07:52 PM;11/19/2023 08:02 PM; Pata Amiga Blumenau Centro;LJ-001;Velha;ACESSORIO;dinheiro;5;0;;10,1;472,82;57,68;415;sim;Loja Fisica;;;;;;;Retirada na loja;embalagem para presente
PA-2023-01230;11/19/2023 07:50 PM;11/19/2023 08:10 PM;PATA AMIGA TIMBO;LJ-005;Capitais;Petiscos;Pix;6;0;0;14.7;223;R$ 107,14;116,07;X;SITE;2023-11-21;2023-11-22;;;;Entrega Expressa SC;Aguardando despacho;produto fora de linha - substituido
PA-2023-01222;11/19/2023 03:52 PM;11/19/2023 08:52 PM;Pata Amiga Itajai Praia;LJ-003;Cabecudas;higiene;Cartao de Debito;4;0;0;16.0;247,32;-;227,53;1;Loja Fisica;;;;;;;Retirada na loja;
PA-2023-01295;11/19/2023 09:20 PM;11/19/2023 09:30 PM;Pata Amiga Lages;LJ-025;Habitacao;Petiscos;Cartao de Credito;14;2;0;21.3;320,03;105,93;R$ 214,10;sim;Loja Fisica;;;;;;;Retirada na loja;aguardando confirmacao de estoque
PA-2023-01227;11/19/2023 07:45 PM;11/19/2023 09:45 PM;Pata Amiga Timbó;;Capitais;RACAO;Vale Pet;12;N/I;0;39.2;2518.41;1.208,84;R$ 1.309,57;sim;SITE;;;;;;;Pedido cancelado;
PA-2023-01270;11/19/2023 11:55 AM;11/19/2023 09:55 PM;Pata Amiga Jaragua Do Sul;LJ-014;Barra do Rio Cerro;Racao Medicamentosa;Cartao de Credito;9;0;0;22.0;847,82;276,39;R$ 571,43;V;Loja Física;;;;;;;Retirada na loja;
PA-2023-01292;11/19/2023 10:45 PM;11/19/2023 10:55 PM;PATA AMIGA SANTO AMARO DA IMPERATRIZ;LJ-020;Centro;petisco;Debito;3;0;0;8.4;85,07;12,93;72.14;sim;App;2023-11-23;2023-11-25;2023-11-28;2023-12-02;R$ 20,22;Entrega Expressa SC;Entregue;produto fora de linha - substituido
PA-2023-01255;11/19/2023 08:20 PM;11/19/2023 11:20 PM;PATA AMIGA RIO DOS CEDROS;;Centro;Higiene;Cartao de Debito;11;1;0;12,8;391.65;R$ 187,99;203;1;site;2023-11-22;2023-11-24;2023-12-05;2023-12-09;33.87;Rapido Catarinense;Entregue;
PA-2023-01240;11/19/2023 10:55 PM;11/19/2023 11:45 PM;pata amiga taio;;;Ração;PIX;9;1;0;30.3;R$ 1.350,70;648,34;702,36;V;Tel.;2023-11-21;2023-11-22;2023-11-29;2023-12-02;57,29;Logistica Propria;Entregue;produto fora de linha - substituido
PA-2023-01229;11/19/2023 09:05 PM;11/20/2023 12:05 AM;Pata Amiga Timbo;;;medicamento;BOLETO;14;2;0;15,2;R$ 871,95;R$ 418,54;R$ 453,41;S;APP;2023-11-22;2023-11-23;2023-11-28;2023-11-29;R$ 49,20;Correios;Entregue;aguardando confirmacao de estoque
PA-2023-01241;11/19/2023 07:15 PM;11/20/2023 12:15 AM;Pata Amiga Taio;;Centro;PETISCO;Cartão de Crédito;10;0;0;41.3;418.62;200,94;217;sim;site;2023-11-25;2023-11-25;2023-12-02;2023-12-04;115.48;Entrega Expressa SC;Entregue;
PA-2023-01236;11/19/2023 10:30 PM;11/20/2023 01:30 AM;Pata Amiga Presidente Getúlio;LJ-008;Alto Dona Luiza;Racao Seca;DINHEIRO;8;0;0;30.2;1.399,72;671,87;727.85;Sim;;2023-11-22;2023-11-22;2023-12-02;2023-12-04;80.24;Entrega Expressa SC;Entregue;produto fora de linha - substituido
PA-2023-01221;11/19/2023 03:35 PM;11/20/2023 01:35 AM;pata amiga blumenau centro;;Itoupava Norte;servico;CARTAO DE DEBITO;2;0;0;1,5;R$ 246,54;30,08;R$ 216,46;SIM;App Pata Amiga;;;;;;;Pedido cancelado;produto fora de linha - substituido
PA-2023-01315;11/20/2023 01:35 AM;11/20/2023 01:55 AM;Pata Amiga Blumenau Centro/SC;;Ribeirao Fresco;Higiene e Beleza;CARTAO DE DEBITO;15;1;0;49.7;-;-;492;S;;2023-11-21;2023-11-22;2023-11-25;2023-11-27;R$ 163,69;Logistica Propria;Entregue;cliente pediu entrega no periodo da tarde
PA-2023-01299;11/19/2023 04:07 PM;11/20/2023 02:07 AM;PATA AMIGA LAGES;;Habitacao;RAÇÃO;CARTAO DE CREDITO;15;1;0;20,0;1.680,48;R$ 556,24;R$ 1.124,24;Sim;TELEFONE;2023-11-24;2023-11-25;2023-11-27;;;TransPet Log;Despachado - em transito;produto fora de linha - substituido
PA-2023-01381;11/20/2023 01:38 AM;11/20/2023 02:13 AM;Pata Amiga Palhoca;LJ-019;;racao;Cartao de Debito;6;0;1;12,3;1.058,54;R$ 386,37;672,17;true;App;2023-11-22;2023-11-23;2023-11-25;2023-11-27;38;Logistica Propria;Entregue;
PA-2023-01323;11/20/2023 12:23 AM;11/20/2023 02:23 AM;PATA AMIGA RIO DOS CEDROS;LJ-012;Centro;Medicamentos;boleto;5;0;0;2,4;539,63;86.88;452.75;1;LOJA FISICA;;;;;;;Retirada na loja;conferir endereco com o cliente
PA-2023-01359;11/20/2023 12:40 AM;11/20/2023 02:40 AM;Pata Amiga São Bento do Sul;;Oxford;Petisco;VALE PET;7;0;0;4.2;354,42;R$ 170,12;184.30;1;telefone;2023-11-22;2023-11-22;2023-11-24;2023-11-26;16.86;TransPet Log;Entregue;aguardando confirmacao de estoque
PA-2023-01341;11/20/2023 03:47 AM;11/20/2023 03:57 AM;Pata Amiga Joinville Sul;LJ-013;Vila Nova;Racao Seca;Vale Pet;15;1;0;25.6;3.269,97;1.569,59;1700.38;X;site;2023-11-21;2023-11-22;2023-11-24;2023-11-26;77,31;Entrega Expressa SC;Entregue;pedido recorrente
PA-2023-01277;11/19/2023 06:00 PM;11/20/2023 04:00 AM;Pata Amiga Sao Bento do Sul;;Centro;PETISCO;PIX;5;0;2;4,5;114,93;-;R$ 72,06;sim;loja fisica;;;;;;;Retirada na loja;
PA-2023-01379;11/20/2023 02:55 AM;11/20/2023 04:15 AM;Pata Amiga São Jose Kobrasol;;Real Parque;medicamento;Cartão de Crédito;8;0;0;22,5;1160.92;423;R$ 737,18;true;Loja Fisica;;;;;;;Retirada na loja;conferir endereco com o cliente
PA-2023-01352;11/20/2023 04:23 AM;11/20/2023 04:43 AM;Pata Amiga Jaragua do Sul;LJ-014;Centro;Ração;Cartão de Débito;;1;0;42,3;1697;814,64;882,52;X;Loja Fisica;;;;;;;Retirada na loja;aguardando confirmacao de estoque
PA-2023-01369;11/20/2023 02:45 AM;11/20/2023 04:45 AM;PATA AMIGA SAO JOSE KOBRASOL;;Campinas;Higiene e Beleza;Boleto;9;0;;10.8;R$ 235,73;86,04;149,69;sim;Whatsapp;2023-11-22;2023-11-22;2023-11-26;;;Logistica Propria;Despachado - em transito;
PA-2023-01327;11/20/2023 04:47 AM;11/20/2023 05:22 AM;Pata Amiga Joinville Sul/SC;LJ-013;Aventureiro;Ração;pix;13;0;;13.1;2.873,57;1379.31;R$ 1.494,26;X;site;2023-11-21;2023-11-22;;;;Logistica Propria;Aguardando despacho;pedido recorrente
PA-2023-01285;11/19/2023 07:38 PM;11/20/2023 05:38 AM;PATA AMIGA SAO JOSE KOBRASOL;;Forquilhinhas;medicamento;DINHEIRO;16;;0;65.7;1906.49;915,12;991,37;S;WhatsApp;2023-11-23;2023-11-24;2023-11-25;2023-11-27;188,05;TransPet Log;Entregue;conferir endereco com o cliente
PA-2023-01324;11/20/2023 02:45 AM;11/20/2023 05:45 AM;Pata Amiga Joinville Sul/SC;LJ-013;Costa e Silva;higiene;Vale Pet;6;;2;23.5;R$ 370,37;177,78;192.59;SIM;site;2023-11-21;2023-11-22;2023-11-24;2023-11-25;53,56;Rapido Catarinense;Entregue;
PA-2023-01326;11/20/2023 05:45 AM;11/20/2023 05:55 AM;pata amiga joinville sul;LJ-013;Vila Nova;petisco;CARTAO DE CREDITO;6;0;0;18.1;R$ 291,89;140.11;151,78;X;Loja Física;;;;;;;Retirada na loja;
PA-2023-01383;11/20/2023 05:47 AM;11/20/2023 06:07 AM;Pata Amiga Palhoca;;Passa Vinte;Ração;Cartão de Crédito;;1;0;20.5;1.338,89;488.69;850,20;Sim;site;2023-11-22;2023-11-23;2023-11-27;2023-11-28;31;Entrega Expressa SC;Entregue;cliente pediu entrega no periodo da tarde
PA-2023-01377;11/20/2023 01:15 AM;11/20/2023 06:15 AM;PATA AMIGA SAO JOSE KOBRASOL;;Real Parque;Petisco;Boleto;8;1;2;16,5;176,35;64,37;R$ 111,98;SIM;;2023-11-21;2023-11-21;2023-11-24;2023-11-26;R$ 54,58;TransPet Log;Entregue;
PA-2023-01378;11/20/2023 06:05 AM;11/20/2023 06:25 AM;Pata Amiga Sao Jose Kobrasol/SC;;;Rac.;vale pet;10;0;0;34.2;R$ 1.428,47;521.39;907,08;V;SITE;2023-11-23;2023-11-24;2023-11-25;;;Entrega Expressa SC;Despachado - em transito;
PA-2023-01333;11/20/2023 08:15 AM;11/20/2023 08:35 AM;Pata Amiga Joinville Sul;LJ-013;Jarivatuba;PETISCO;Credito;11;1;0;39,1;R$ 433,85;208,25;225,60;sim;SITE;2023-11-22;2023-11-23;2023-11-26;2023-11-28;84;Entrega Expressa SC;Entregue;
PA-2023-01364;11/20/2023 08:12 AM;11/20/2023 08:47 AM;Pata Amiga Itapoa;LJ-016;Figueira do Pontal;Medicamento;CARTAO DE CREDITO;10;1;0;24.1;632,89;303.79;329,10;true;Loja Fisica;;;;;;;Retirada na loja;
PA-2023-01351;11/20/2023 08:40 AM;11/20/2023 08:50 AM;Pata Amiga Jaraguá do Sul;LJ-014;Centro;Ração;boleto;18;1;;53.8;1977.49;R$ 949,20;R$ 1.028,29;X;App;2023-11-22;2023-11-22;2023-11-25;2023-11-27;100,47;Entrega Expressa SC;Entregue;pedido recorrente
PA-2023-01301;11/19/2023 11:23 PM;11/20/2023 09:23 AM;pata amiga lages;;Centro;Racao Medicamentosa;vale pet;11;0;0;25.8;994.25;329,10;665;X;APP;2023-11-23;2023-11-23;2023-11-26;2023-11-27;R$ 75,52;Correios;Entregue;aguardando confirmacao de estoque
PA-2023-01384;11/20/2023 09:40 AM;11/20/2023 10:00 AM;Pata Amiga Palhoça;LJ-019;Ponte do Imaruim;Ração;Cartao de Credito;13;0;0;20.3;1349;;856,83;SIM;App;2023-11-22;2023-11-22;2023-11-23;2023-11-25;35.37;Correios;Entregue;pedido recorrente
PA-2023-01329;11/20/2023 08:45 AM;11/20/2023 10:05 AM;pata amiga joinville sul;LJ-013;Costa e Silva;Medicamentos;pix;6;0;1;15.1;R$ 566,92;;294;X;APP;;;;;;;Pedido cancelado;embalagem para presente
PA-2023-01336;11/20/2023 09:45 AM;11/20/2023 10:05 AM;Pata Amiga Joinville Sul/SC;;Costa e Silva;racao;Debito;12;0;0;33.9;2264;1.086,77;1.177,33;S;loja fisica;;;;;;;Retirada na loja;pedido recorrente
PA-2023-01374;11/20/2023 09:55 AM;11/20/2023 10:30 AM;Pata Amiga São Jose Kobrasol;LJ-018;Kobrasol;Ração Medicamentosa;Vale Pet;10;;0;27.9;1149.04;419,40;729,64;S;APP;2023-11-22;2023-11-23;2023-11-27;2023-11-29;53,86;Entrega Expressa SC;Entregue;cliente pediu entrega no periodo da tarde
PA-2023-01363;11/20/2023 09:45 AM;11/20/2023 11:05 AM;Pata Amiga Itapoá;LJ-016;Figueira do Pontal;medicamento;CARTAO DE CREDITO;13;0;0;45.0;R$ 797,01;382;414,45;sim;WHATSAPP;2023-11-24;2023-11-24;2023-12-05;2023-12-07;R$ 82,32;TransPet Log;Entregue;aguardando confirmacao de estoque
PA-2023-01334;11/20/2023 06:20 AM;11/20/2023 11:20 AM;Pata Amiga Joinville Sul;;Aventureiro;Med.;Cartão de Crédito;19;0;0;61.0;2.585,18;1240.89;1.344,29;X;WHATSAPP;2023-11-21;2023-11-22;2023-11-28;2023-11-30;R$ 151,00;TransPet Log;Entregue;aguardando confirmacao de estoque
PA-2023-01330;11/20/2023 06:25 AM;11/20/2023 11:25 AM;Pata Amiga Joinville Sul/SC;;Aventureiro;racao;Especie;8;0;;9.8;1.208,37;R$ 580,02;R$ 628,35;SIM;App;2023-11-23;2023-11-23;2023-11-26;2023-11-27;R$ 37,24;Rapido Catarinense;Entregue;
PA-2023-01375;11/20/2023 10:35 AM;11/20/2023 11:25 AM;Pata Amiga São José Kobrasol;LJ-018;Campinas;RAÇÃO;BOLETO;9;0;0;16.6;1.358,02;R$ 495,68;R$ 862,34;X;Loja Fisica;;;;;;;Retirada na loja;pedido recorrente
PA-2023-01337;11/20/2023 08:35 AM;11/20/2023 11:35 AM;Pata Amiga Joinville Sul/SC;LJ-013;;higiene;vale pet;13;1;0;47.1;454.24;R$ 218,04;236,20;1;whatsapp;2023-11-23;2023-11-24;;;;Correios;Aguardando despacho;pedido recorrente
PA-2023-01362;11/20/2023 11:07 AM;11/20/2023 11:42 AM;Pata Amiga Itapoa;LJ-016;Figueira do Pontal;Hig.;Debito;12;0;0;26,5;599.94;R$ 287,97;311,97;Sim;app;2023-11-24;2023-11-25;;;;Logistica Propria;Aguardando despacho;
PA-2023-01331;11/20/2023 10:25 AM;11/20/2023 11:45 AM;Pata Amiga Joinville Sul/SC;LJ-013;Jarivatuba;Higiene e Beleza;CARTAO DE CREDITO;6;0;0;7.3;308,61;148;160;Sim;LOJA FISICA;;;;;;;Retirada na loja;
PA-2023-01325;11/20/2023 10:07 AM;11/20/2023 12:07 PM;pata amiga joinville sul;LJ-013;Boa Vista;medicamento;Vale Pet;16;2;0;15.1;1.903,43;913;989,78;SIM;site;2023-11-23;2023-11-24;2023-11-26;2023-11-28;51.86;Logistica Propria;Entregue;
PA-2023-01322;11/20/2023 12:00 PM;11/20/2023 12:10 PM;Pata Amiga Ituporanga;;Vila Nova;Brinquedo;vale pet;5;0;0;12,8;239,06;12,19;R$ 226,87;sim;Loja Fisica;;;;;;;Retirada na loja;produto fora de linha - substituido
PA-2023-01354;11/20/2023 10:52 AM;11/20/2023 12:12 PM;Pata Amiga Jaragua do Sul;;Centro;Higiene e Beleza;CARTAO DE CREDITO;17;2;;48,8;1039;499,04;540,62;V;SITE;;;;;;;Pedido cancelado;cliente pediu entrega no periodo da tarde
PA-2023-01328;11/20/2023 12:25 PM;11/20/2023 12:35 PM;Pata Amiga Joinville Sul/SC;LJ-013;;RACAO;Credito;14;2;0;46.5;2763.48;R$ 1.326,47;1437;V;Tel.;2023-11-21;;;;;Logistica Propria;Aguardando nota fiscal;aguardando confirmacao de estoque
PA-2023-01357;11/20/2023 02:47 AM;11/20/2023 12:47 PM;Pata Amiga Sao Bento do Sul;LJ-015;Oxford;PETISCO;Debito;6;0;0;18,2;260,79;125;R$ 135,61;1;SITE;2023-11-23;2023-11-24;2023-11-29;;;Correios;Despachado - em transito;embalagem para presente
